1,15,27,,,,,,,,,,,
2,0,9,,,,,,,,,,,
3,0,10,,,,,,,,,,,
4,300,12,,,,,,,,,,,
5,0,0,,,,,,,,,,,
6,50,22,,,,,,,,,,,
7,0,2,,,,,,,,,,,
8,300,0,,,,,,,,,,,
9,0,0,,,,,,,,,,,
10,200,0,,,,,,,,,,,
11,0,23,,,,,,,,,,,
12,120,10,,,,,,,,,,,
13,0,16,,,,,,,,,,,
14,0,1,,,,,,,,,,,
15,30,30,,,,,,,,,,,
16,0,10,,,,,,,,,,,
17,0,3,,,,,,,,,,,
18,50,34,,,,,,,,,,,
19,24,25,,,,,,,,,,,
20,0,3,,,,,,,,,,,
21,0,8,,,,,,,,,,,
22,0,5,,,,,,,,,,,
23,0,3,,,,,,,,,,,
24,300,0,,,,,,,,,,,
25,140,0,,,,,,,,,,,
26,1000,0,,,,,,,,,,,
27,300,13,,,,,,,,,,,
28,0,7,,,,,,,,,,,
29,0,4,,,,,,,,,,,
30,0,0,,,,,,,,,,,
31,300,27,,,,,,,,,,,
32,42,23,,,,,,,,,,,
33,0,9,,,,,,,,,,,
34,24,26,,,,,,,,,,,
35,0,9,,,,,,,,,,,
36,24,17,,,,,,,,,,,
37,0,0,,,,,,,,,,,
38,0,0,,,,,,,,,,,
39,0,11,,,,,,,,,,,
40,300,23,,,,,,,,,,,
41,0,10,,,,,,,,,,,
42,300,23,,,,,,,,,,,
43,0,7,,,,,,,,,,,
44,0,8,,,,,,,,,,,
45,0,22,,,,,,,,,,,
46,100,10,,,,,,,,,,,
47,0,0,,,,,,,,,,,
48,0,11,,,,,,,,,,,
49,210,30,,,,,,,,,,,
50,0,4,,,,,,,,,,,
51,0,8,,,,,,,,,,,
52,0,5,,,,,,,,,,,
53,0,11,,,,,,,,,,,
54,300,32,,,,,,,,,,,
55,23,22,,,,,,,,,,,
56,15,18,,,,,,,,,,,
57,0,3,,,,,,,,,,,
58,0,3,,,,,,,,,,,
59,180,113,,,,,,,,,,,
60,0,3,,,,,,,,,,,
61,300,0,,,,,,,,,,,
62,20,14,,,,,,,,,,,
63,0,0,,,,,,,,,,,
64,0,0,,,,,,,,,,,
65,200,0,,,,,,,,,,,
66,200,18,,,,,,,,,,,
67,0,7,,,,,,,,,,,
68,0,0,,,,,,,,,,,
69,300,0,,,,,,,,,,,
70,32,20,,,,,,,,,,,
71,0,0,,,,,,,,,,,
72,100,0,,,,,,,,,,,
73,100,0,,,,,,1,2,1,1,0,1
74,9,27,,,,,,1,3,1,1,0,2
75,0,11,,,,,,4,5,1,1,3,4
76,23,36,,,,,,3,5,1,1,2,4
77,70,28,,,,,,5,6,1,1,4,5
78,0,26,,,,,,6,7,1,1,5,6
79,0,32,,,,,,8,9,1,1,7,8
80,280,26,,,,,,5,8,1,1,4,7
81,0,0,,,,,,9,10,1,1,8,9
82,0,27,,,,,,4,11,1,1,3,10
83,0,10,,,,,,5,11,1,1,4,10
84,0,7,,,,,,11,12,1,1,10,11
85,23,15,,,,,,2,12,1,1,1,11
86,0,10,,,,,,3,12,1,1,2,11
87,1000,0,,,,,,7,12,1,1,6,11
88,0,10,,,,,,11,13,1,1,10,12
89,300,0,,,,,,12,14,1,1,11,13
90,300,42,,,,,,13,15,1,1,12,14
91,100,0,,,,,,14,15,1,1,13,14
92,9,10,,,,,,12,16,1,1,11,15
93,0,7,,,,,,15,17,1,1,14,16
94,0,16,,,,,,16,17,1,1,15,16
95,0,31,,,,,,17,18,1,1,16,17
96,0,15,,,,,,18,19,1,1,17,18
97,0,9,,,,,,19,20,1,1,18,19
98,0,8,,,,,,15,19,1,1,14,18
99,100,0,,,,,,20,21,1,1,19,20
100,155,18,,,,,,21,22,1,1,20,21
101,0,15,,,,,,22,23,1,1,21,22
102,0,3,,,,,,23,24,1,1,22,23
103,40,16,,,,,,23,25,1,1,22,24
104,23,25,,,,,,25,26,1,1,24,25
105,23,26,,,,,,25,27,1,1,24,26
106,0,16,,,,,,27,28,1,1,26,27
107,200,12,,,,,,28,29,1,1,27,28
108,0,1,,,,,,17,30,1,1,16,29
109,0,3,,,,,,8,30,1,1,7,29
110,23,30,,,,,,26,30,1,1,25,29
111,1000,0,,,,,,17,31,1,1,16,30
112,1000,13,,,,,,29,31,1,1,28,30
113,200,0,,,,,,23,32,1,1,22,31
114,0,3,,,,,,31,32,1,1,30,31
115,0,7,,,,,,27,32,1,1,26,31
116,1000,0,,,,,,15,33,1,1,14,32
117,0,8,,,,,,19,34,1,1,18,33
118,0,15,,,,,,35,36,1,1,34,35
,,,,,,,,35,37,1,1,34,36
,,,,,,,,33,37,1,1,32,36
,,,,,,,,34,36,1,1,33,35
,,,,,,,,34,37,1,1,33,36
,,,,,,,,37,38,1,1,36,37
,,,,,,,,37,39,1,1,36,38
,,,,,,,,37,40,1,1,36,39
,,,,,,,,30,38,1,1,29,37
,,,,,,,,39,40,1,1,38,39
,,,,,,,,40,41,1,1,39,40
,,,,,,,,40,42,1,1,39,41
,,,,,,,,41,42,1,1,40,41
,,,,,,,,43,44,1,1,42,43
,,,,,,,,34,43,1,1,33,42
,,,,,,,,44,45,1,1,43,44
,,,,,,,,45,46,1,1,44,45
,,,,,,,,46,47,1,1,45,46
,,,,,,,,46,48,1,1,45,47
,,,,,,,,47,49,1,1,46,48
,,,,,,,,42,49,1,1,41,48
,,,,,,,,42,49,1,1,41,48
,,,,,,,,45,49,1,1,44,48
,,,,,,,,48,49,1,1,47,48
,,,,,,,,49,50,1,1,48,49
,,,,,,,,49,51,1,1,48,50
