0	1
0	2
0	6
2	3
2	4
4	5
6	7
7	11
7	8
7	12
8	13
12	33
12	17
10	13
9	13
14	15
14	16
17	18
17	20
18	19
20	21
20	22
22	23
22	24
24	25
24	27
25	26
25	30
26	32
27	28
28	29
29	124
30	31
14	33
34	35
34	39
35	36
35	37
37	38
39	40
39	41
41	42
41	43
43	44
43	46
44	45
46	47
46	48
48	49
49	50
50	123
51	52
52	53
53	54
53	56
54	55
56	57
56	59
57	58
59	60
59	61
61	62
62	63
63	64
64	65
66	67
66	71
66	96
67	68
68	69
69	70
71	72
71	75
72	73
73	74
75	76
75	85
76	77
77	78
77	79
79	80
80	81
80	83
81	82
83	84
85	86
86	87
86	88
88	89
88	90
90	91
90	92
92	93
92	94
94	95
96	97
97	98
98	99
99	122
100	101
100	104
101	102
102	103
104	105
104	107
105	106
107	108
107	121
108	109
109	110
109	111
111	112
112	113
34	114
0	115
51	116
66	117
100	118
12	116
17	114
59	117
60	120
96	118
115	119
