1,15,27
2,0,9
3,0,10
4,300,12
5,0,0
6,50,22
7,0,2
8,300,0
9,0,0
10,200,0
11,0,23
12,120,10
13,0,16
14,0,1
15,30,30
16,0,10
17,0,3
18,50,34
19,24,25
20,0,3
21,0,8
22,0,5
23,0,3
24,300,0
25,140,0
26,1000,0
27,300,13
28,0,7
29,0,4
30,0,0
31,300,27
32,42,23
33,0,9
34,24,26
35,0,9
36,24,17
37,0,0
38,0,0
39,0,11
40,300,23
41,0,10
42,300,23
43,0,7
44,0,8
45,0,22
46,100,10
47,0,0
48,0,11
49,210,30
50,0,4
51,0,8
52,0,5
53,0,11
54,300,32
55,23,22
56,15,18
57,0,3
58,0,3
59,180,113
60,0,3
61,300,0
62,20,14
63,0,0
64,0,0
65,200,0
66,200,18
67,0,7
68,0,0
69,300,0
70,32,20
71,0,0
72,100,0
73,100,0
74,9,27
75,0,11
76,23,36
77,70,28
78,0,26
79,0,32
80,280,26
81,0,0
82,0,27
83,0,10
84,0,7
85,23,15
86,0,10
87,1000,0
88,0,10
89,300,0
90,300,42
91,100,0
92,9,10
93,0,7
94,0,16
95,0,31
96,0,15
97,0,9
98,0,8
99,100,0
100,155,18
101,0,15
102,0,3
103,40,16
104,23,25
105,23,26
106,0,16
107,200,12
108,0,1
109,0,3
110,23,30
111,1000,0
112,1000,13
113,200,0
114,0,3
115,0,7
116,1000,0
117,0,8
118,0,15
